Source,Which of the following time periods best describes when your house was built?,What do you know about the architecture of the house?,Select the best option which describes your house.,How many stories does your house have?,State the area of your house in square feet?,Relationship to the head of the household,Gender,Current attendance at school or other educational institution,Main occupation,How much is your household's average monthly expenditure for food? (in Rupees),How much is your household's average monthly expenditure for non food? (in Rupees),What is the best representation of the major material your outside walls are made of?,Which of the following options does your house use for ventilation and lighting other than windows and doors (only indoors)?,What is the major type of roof installation used in your house (on the highest floor)?,"Nearly how many red notices did you receive last year?
(A red notice is issued for failing to settle outstanding bills during a certain period)",Which of the below is true regarding your normal bill payment practice (example given when the bill is Rs 4566)?,Was your wiring done by a professional electrician?,Which of the following do you use in your household for generating electricity?,"If using solar energy, which of the following purposes do you use solar energy inside your house?",Which of the following can most accurately describe your know-how in electricity bill calculation?,Which of the following best describes your behaviour of ironing clothes?,Which of the following best describes your behaviour regarding night lighting considering the whole house?,Do you check your electricity meter for overconsumption?,Do you look at the energy rating of an appliance when buying one?,Which district you are residing?
Online,1990 - 1999,The house was designed by a certified architect,Single House - Single Floor,1,850,Head of the household,Male,University,Professional,80000,80000,Brick,Other,Tile,0,I try to pay the exact amount in the bill (ex: 4566),Yes,"Electricity grid power, Solar Energy","Water heating, Outdoor lighting, Cooking",I am not aware of how the bill is calculated,We iron when and where the need arises,We don’t keep any of the lights on when sleeping,"Yes, some of the months",Yes,Colombo
Online,After 2019,The house was designed by a certified architect,Single House -Double Floor,2,2000,Son/daughter,Female,University,Technician and associate professional,25000,40000,Brick,Transparent walls (clear glass/ semi-transparent glass),Asbestos,1,I try to pay the exact amount in the bill (ex: 4566),Yes,Electricity grid power,Not using solar energy,I got to know through the media,We iron the clothes weekly,We don’t keep any of the lights on when sleeping,"Rarely, once a year",Yes,Gampaha
Online,2010 - 2019,The house was designed by a certified architect,Single House - Single Floor,1,2300,Head of the household,Male,University,Professional,30000,35000,Cement Block,"Transparent roofing parts, Transparent walls (clear glass/ semi-transparent glass)",Concrete,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Solar Energy,"Outdoor lighting, Cooking",I got to know through the media,We iron the clothes weekly,We don’t keep any of the lights on when sleeping,"Yes, every month",Yes,Galle
Online,2000 - 2009,I am not aware of it,Single House -Double Floor,2,1700,Son/daughter,Male,University,Professional,100000,150000,Cement Block,None,Asbestos,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,I am not aware of it,Electricity grid power,Not using solar energy,I got to know through the media,We iron when and where the need arises,We keep less than two-night lights on when sleeping,Never,No,Colombo
Online,2010 - 2019,The house was designed by a certified architect,Single House -Double Floor,2,1700,Parents of the head of the household/spouse,Female,Other educational institution,Professional,30000,20000,Cement Block,Transparent walls (clear glass/ semi-transparent glass),Concrete,0,I try to pay a rounded-off amount which is mostly lower than the bill (ex: 4500),Yes,Electricity grid power,Not using solar energy,I learnt the calculation by reading the monthly bill,We don’t iron cloths,We don’t keep any of the lights on when sleeping,Never,No,Galle
Online,Before 1980,House was designed barely to pass the statutory requirements of the local authorities,Single House - Single Floor,1,600,Head of the household,Male,Vocational/Technical Institution,Professional,150000,150000,Cabook,Transparent walls (clear glass/ semi-transparent glass),Tile,0,I try to pay the exact amount in the bill (ex: 4566),I am not aware of it,"Electricity grid power, Solar Energy",Other,I learnt the calculation by reading the monthly bill,We iron when and where the need arises,We keep less than two-night lights on when sleeping,Never,Yes,Colombo
Online,2000 - 2009,The house was designed by a certified architect,Single House - Above double floor,3,1600,Son/daughter,Male,Does not attend,Professional,125000,150000,Brick,"Transparent walls (clear glass/ semi-transparent glass), Window walls (the wall is covered more than 80% by windows)",Asbestos,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Solar Energy,"Water heating, Outdoor lighting, Cooking",I am not aware of how the bill is calculated,We iron when and where the need arises,We don’t keep any of the lights on when sleeping,Never,Yes,Colombo
Online,2000 - 2009,House was designed barely to pass the statutory requirements of the local authorities,Slum / Shanty,3,3000,Son/daughter,Male,University,Professional,40000,20000,Brick,"Transparent walls (clear glass/ semi-transparent glass), Other",Tile,0,I try to pay the exact amount in the bill (ex: 4566),Yes,Electricity grid power,Not using solar energy,I got to know through another mean,We iron when and where the need arises,We keep less than two-night lights on when sleeping,Never,No,Colombo
Online,Before 1980,The house was designed by a certified architect,Single House -Double Floor,2,3500,Son/daughter,Male,University,Professional,40000,30000,Brick,Window walls (the wall is covered more than 80% by windows),Tile,0,I try to pay a rounded-off amount which is mostly lower than the bill (ex: 4500),Yes,Electricity grid power,Not using solar energy,I learnt the calculation by reading the monthly bill,We iron when and where the need arises,We keep more than two lights on when sleeping,"Yes, some of the months",Yes,Kegalle
Online,Before 1980,I am not aware of it,Single House - Single Floor,1,3000,Parents of the head of the household/spouse,Male,Does not attend,Professional,30000,25000,Cabook,Other,Tile,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Electricity grid power,Not using solar energy,I got to know through another mean,We iron the clothes weekly,We don’t keep any of the lights on when sleeping,"Rarely, once a year",No,Gampaha
